area_type,availability,bath,balcony,price,site_location,bhk,new_total_sqft,price_per_sqft
Super built-up  Area,Ready To Move,5.0,2.0,300.0,Prabhat Road,4,4303.0,6971.880083662561
Super built-up  Area,Ready To Move,3.0,3.0,120.0,Prabhat Road,3,1700.0,7058.823529411765
Super built-up  Area,18-Dec,2.0,1.0,46.5,Prabhat Road,2,1030.0,4514.563106796117
Super built-up  Area,Ready To Move,2.0,3.0,80.0,Prabhat Road,2,1510.0,5298.013245033113
Super built-up  Area,Ready To Move,1.0,1.0,31.2,Prabhat Road,1,700.0,4457.142857142857
Super built-up  Area,Ready To Move,2.0,1.0,70.0,Prabhat Road,2,1404.0,4985.754985754986
Super built-up  Area,Ready To Move,3.0,2.0,120.0,Prabhat Road,3,1787.0,6715.165081141578
Super built-up  Area,21-Dec,2.0,1.0,92.0,Prabhat Road,2,1252.0,7348.242811501597
Super built-up  Area,Ready To Move,2.0,1.0,68.0,Prabhat Road,2,1040.0,6538.461538461538
Super built-up  Area,Ready To Move,2.0,1.0,58.0,Prabhat Road,2,1236.0,4692.556634304207
Plot  Area,Ready To Move,4.0,2.0,198.0,Prabhat Road,4,2485.0,7967.806841046277
Super built-up  Area,Ready To Move,3.0,1.0,131.0,Prabhat Road,3,1936.0,6766.528925619835
Super built-up  Area,Ready To Move,2.0,2.0,75.0,Pune Railway Station,3,1425.0,5263.1578947368425
Super built-up  Area,Ready To Move,2.0,3.0,59.95,Pune Railway Station,2,1155.0,5190.476190476191
Super built-up  Area,Ready To Move,3.0,2.0,150.0,Pune Railway Station,3,1680.0,8928.57142857143
Super built-up  Area,19-Dec,1.0,1.0,38.0,Pune Railway Station,1,711.0,5344.585091420535
Super built-up  Area,Ready To Move,3.0,2.0,100.0,Pune Railway Station,3,1654.0,6045.949214026602
Built-up  Area,Ready To Move,1.0,1.0,14.0,Pune Railway Station,1,400.0,3500.0
Super built-up  Area,Ready To Move,2.0,2.0,82.0,Pune Railway Station,2,1172.0,6996.587030716723
Carpet  Area,Ready To Move,2.0,1.0,52.0,Pune Railway Station,2,950.0,5473.684210526316
Super built-up  Area,21-Dec,2.0,1.0,35.0,Pune Railway Station,2,700.0,5000.0
Plot  Area,Ready To Move,2.0,0.0,55.0,Pune Railway Station,2,900.0,6111.111111111111
Super built-up  Area,18-Jul,4.0,1.0,135.0,Pune Railway Station,3,2600.0,5192.307692307692
Super built-up  Area,Ready To Move,2.0,3.0,58.0,Pune Railway Station,2,1100.0,5272.727272727273
Plot  Area,Ready To Move,2.0,1.0,105.0,Pune Railway Station,2,1375.0,7636.363636363636
Super built-up  Area,Ready To Move,2.0,0.0,90.0,Pune Railway Station,2,1200.0,7500.0
Super built-up  Area,19-Jun,2.0,1.0,63.0,Pune Railway Station,2,985.0,6395.9390862944165
Super built-up  Area,Ready To Move,3.0,3.0,139.0,Pune Railway Station,3,1730.0,8034.682080924856
Built-up  Area,Ready To Move,4.0,3.0,173.0,Pune Railway Station,4,2425.0,7134.020618556701
Super built-up  Area,Ready To Move,2.0,2.0,90.0,Pune Railway Station,2,1505.0,5980.066445182724
Super built-up  Area,Ready To Move,2.0,2.0,106.0,Pune Railway Station,2,1418.0,7475.317348377997
Super built-up  Area,18-Sep,3.0,2.0,90.0,Pune Railway Station,3,1586.0,5674.653215636822
Plot  Area,Ready To Move,3.0,1.0,128.0,Pune Railway Station,4,1632.0,7843.137254901961
Super built-up  Area,19-May,3.0,2.0,140.0,Pune Railway Station,3,1795.0,7799.442896935933
Super built-up  Area,Ready To Move,4.0,2.0,160.0,Pune Railway Station,3,2215.0,7223.476297968397
Super built-up  Area,Ready To Move,3.0,2.0,90.0,Pune Railway Station,3,1662.0,5415.162454873646
Super built-up  Area,19-Dec,2.0,1.0,54.59,Pune Railway Station,2,1012.0,5394.268774703557
Built-up  Area,Ready To Move,2.0,3.0,65.0,Pune Railway Station,2,1186.0,5480.607082630691
Super built-up  Area,18-May,2.0,2.0,90.63,Pune Railway Station,3,1710.0,5300.0
Built-up  Area,18-Dec,3.0,2.0,98.0,Pune Railway Station,3,1677.0,5843.768634466309
Plot  Area,Ready To Move,4.0,1.0,370.0,Pune Railway Station,4,4111.0,9000.243249817562
Super built-up  Area,Ready To Move,3.0,2.0,116.0,Pune Railway Station,3,1690.0,6863.905325443787
Super built-up  Area,Ready To Move,4.0,2.0,160.0,Pune Railway Station,3,2072.0,7722.007722007722
Plot  Area,17-Apr,3.0,2.0,150.0,Pune Railway Station,3,2700.0,5555.555555555556
Built-up  Area,Ready To Move,2.0,2.0,65.5,Pune Railway Station,2,860.0,7616.279069767442
Built-up  Area,Ready To Move,2.0,1.0,60.0,Pune Railway Station,2,1030.0,5825.242718446602
Built-up  Area,Ready To Move,2.0,1.0,67.0,Pune Railway Station,2,1007.0,6653.4260178748755
Built-up  Area,Ready To Move,1.0,1.0,18.0,Pune Railway Station,1,450.0,4000.0
Built-up  Area,Ready To Move,2.0,2.0,70.0,Pune Railway Station,2,1315.0,5323.19391634981
Super built-up  Area,Ready To Move,3.0,1.0,230.0,Pune Railway Station,3,2666.0,8627.156789197299
Super built-up  Area,18-Apr,2.0,1.0,75.0,Pune Railway Station,2,1216.0,6167.763157894737
Super built-up  Area,Ready To Move,3.0,3.0,93.0,Pune Railway Station,3,1653.0,5626.134301270417
Super built-up  Area,Ready To Move,3.0,2.0,96.2,Pune Railway Station,3,1843.0,5219.750406945198
Super built-up  Area,18-Aug,2.0,1.0,65.4,Pune Railway Station,2,1128.0,5797.8723404255325
Super built-up  Area,Ready To Move,4.0,2.0,120.0,Pune Railway Station,3,1950.0,6153.846153846154
Built-up  Area,Ready To Move,2.0,2.0,120.0,Pune Railway Station,3,1668.0,7194.244604316546
Built-up  Area,Ready To Move,2.0,2.0,98.0,Pune Railway Station,3,1560.0,6282.051282051282
Super built-up  Area,Ready To Move,2.0,0.0,54.67,Pune Railway Station,1,994.0,5500.0
Built-up  Area,Ready To Move,4.0,1.0,105.0,Pune Railway Station,4,1500.0,7000.0
Super built-up  Area,Ready To Move,1.0,1.0,46.0,Pune Railway Station,1,615.0,7479.674796747968
Super built-up  Area,Ready To Move,2.0,0.0,55.43,Pune Railway Station,2,907.0,6111.35611907387
Plot  Area,Ready To Move,3.0,2.0,211.0,Pune Railway Station,4,2880.0,7326.388888888889
Super built-up  Area,18-Apr,2.0,1.0,72.0,Pune Railway Station,2,1342.0,5365.126676602086
Super built-up  Area,Ready To Move,2.0,1.0,85.0,Pune Railway Station,2,1315.0,6463.878326996198
Super built-up  Area,18-Aug,3.0,1.0,107.0,Pune Railway Station,3,1538.0,6957.087126137842
Super built-up  Area,Ready To Move,2.0,1.0,62.0,Pune Railway Station,2,1200.0,5166.666666666667
Built-up  Area,Ready To Move,6.0,1.0,88.0,Pune Railway Station,6,2500.0,3520.0
Super built-up  Area,Ready To Move,2.0,2.0,115.0,Pune Railway Station,3,1610.0,7142.857142857143
Super built-up  Area,Ready To Move,3.0,2.0,85.0,Pune Railway Station,3,1650.0,5151.515151515152
Super built-up  Area,20-Dec,2.0,1.0,87.0,Pune Railway Station,2,1451.0,5995.864920744314
Super built-up  Area,18-Apr,2.0,1.0,70.0,Pune Railway Station,2,1370.0,5109.489051094891
Built-up  Area,Ready To Move,3.0,0.0,120.0,Pune Railway Station,4,1800.0,6666.666666666667
Super built-up  Area,Ready To Move,1.0,1.0,29.0,Pune Railway Station,1,589.0,4923.599320882852
Super built-up  Area,Ready To Move,4.0,3.0,180.0,Pune Railway Station,3,2180.0,8256.880733944954
Super built-up  Area,Ready To Move,3.0,1.0,85.86,Pune Railway Station,3,1354.0,6341.211225997045
Super built-up  Area,Ready To Move,2.0,2.0,58.0,Pune Railway Station,2,1075.0,5395.3488372093025
Super built-up  Area,Ready To Move,2.0,1.0,64.0,Pune Railway Station,2,1155.0,5541.1255411255415
Super built-up  Area,Ready To Move,1.0,1.0,17.0,Pune Railway Station,1,550.0,3090.909090909091
Super built-up  Area,Ready To Move,3.0,2.0,120.0,Rasta Peth,3,1680.0,7142.857142857143
Super built-up  Area,20-Aug,1.0,1.0,44.0,Rasta Peth,1,680.0,6470.588235294118
Super built-up  Area,Ready To Move,2.0,2.0,68.48,Rasta Peth,3,1245.0,5500.401606425703
Super built-up  Area,Ready To Move,2.0,2.0,106.0,Rasta Peth,2,1345.0,7881.0408921933085
Super built-up  Area,Ready To Move,2.0,0.0,95.815,Rasta Peth,2,1277.5,7500.1956947162425
Built-up  Area,Ready To Move,1.0,1.0,25.0,Rasta Peth,1,515.0,4854.368932038835
Plot  Area,Ready To Move,3.0,1.0,74.0,Rasta Peth,3,1200.0,6166.666666666667
Super built-up  Area,19-Dec,1.0,1.0,46.08,Rasta Peth,1,665.0,6929.3233082706765
Super built-up  Area,Ready To Move,2.0,1.0,75.0,Rasta Peth,2,1190.0,6302.5210084033615
Built-up  Area,Ready To Move,2.0,0.0,70.0,Rasta Peth,2,1150.0,6086.95652173913
Super built-up  Area,Ready To Move,2.0,2.0,75.08,Rasta Peth,3,1365.0,5500.3663003663005
Super built-up  Area,19-Jun,4.0,3.0,198.0,Rasta Peth,4,2790.0,7096.774193548387
Super built-up  Area,21-Dec,1.0,1.0,30.0,Rasta Peth,1,525.0,5714.285714285715
Super built-up  Area,Ready To Move,2.0,1.0,83.0,Rasta Peth,2,1047.0,7927.411652340019
Super built-up  Area,Ready To Move,3.0,2.0,150.0,Rasta Peth,3,1750.0,8571.42857142857
Super built-up  Area,Ready To Move,3.0,2.0,86.0,Rasta Peth,3,1556.0,5526.9922879177375
Super built-up  Area,21-Dec,3.0,3.0,148.0,Rasta Peth,3,2106.0,7027.540360873694
Built-up  Area,Ready To Move,8.0,3.0,95.0,Rasta Peth,8,2500.0,3800.0
Super built-up  Area,Ready To Move,3.0,3.0,180.0,Rasta Peth,3,2145.0,8391.608391608392
Built-up  Area,Ready To Move,3.0,0.0,110.0,Rasta Peth,3,1780.0,6179.775280898876
Super built-up  Area,19-Jul,2.0,1.0,89.0,Rasta Peth,2,1296.0,6867.283950617284
Super built-up  Area,Ready To Move,1.0,1.0,57.0,Rasta Peth,1,705.0,8085.106382978724
Super built-up  Area,Ready To Move,2.0,2.0,90.0,Rasta Peth,3,1370.0,6569.343065693431
Super built-up  Area,Ready To Move,2.0,1.0,89.0,Rasta Peth,3,1550.0,5741.935483870968
Super built-up  Area,Ready To Move,2.0,1.0,80.0,Rasta Peth,2,1309.0,6111.535523300229
Super built-up  Area,Ready To Move,1.0,1.0,35.0,Rasta Peth,1,700.0,5000.0
Super built-up  Area,Ready To Move,5.0,2.0,181.0,Rasta Peth,4,2500.0,7240.0
Super built-up  Area,Ready To Move,3.0,3.0,75.0,Rasta Peth,3,1455.0,5154.639175257732
Super built-up  Area,Ready To Move,2.0,1.0,98.0,Rasta Peth,3,1354.0,7237.81388478582
Built-up  Area,Ready To Move,2.0,3.0,85.0,Rasta Peth,3,1590.0,5345.911949685535
Super built-up  Area,18-Apr,2.0,1.0,85.0,Rasta Peth,2,1350.0,6296.2962962962965
Super built-up  Area,Ready To Move,2.0,1.0,65.0,Rasta Peth,2,1025.0,6341.463414634146
Super built-up  Area,Ready To Move,2.0,2.0,55.0,Rasta Peth,2,905.0,6077.348066298343
Super built-up  Area,Ready To Move,3.0,2.0,130.0,Rasta Peth,3,1600.0,8125.0
Super built-up  Area,21-Dec,2.0,2.0,27.0,Rasta Peth,1,525.0,5142.857142857143
Super built-up  Area,Ready To Move,2.0,2.0,110.0,Rasta Peth,2,1320.0,8333.333333333334
Built-up  Area,Ready To Move,2.0,2.0,80.0,Rasta Peth,2,1270.0,6299.212598425197
Super built-up  Area,Ready To Move,3.0,2.0,135.0,Rasta Peth,3,1650.0,8181.818181818182
Super built-up  Area,Ready To Move,3.0,2.0,140.0,Rasta Peth,3,1594.0,8782.936010037642
Super built-up  Area,Ready To Move,3.0,2.0,102.0,Rasta Peth,3,1600.0,6375.0
Super built-up  Area,18-Apr,2.0,1.0,93.0,Rasta Peth,2,1223.0,7604.251839738348
Super built-up  Area,Ready To Move,3.0,1.0,101.0,Raviwar Peth,3,1569.0,6437.221159974506
Built-up  Area,Ready To Move,2.0,1.0,60.0,Raviwar Peth,2,1060.0,5660.377358490566
Super built-up  Area,Ready To Move,2.0,2.0,49.2,Raviwar Peth,2,1035.0,4753.623188405797
Super built-up  Area,Ready To Move,2.0,2.0,89.04,Raviwar Peth,2,1308.0,6807.339449541284
Super built-up  Area,Ready To Move,2.0,2.0,54.0,Raviwar Peth,2,1350.0,4000.0
Super built-up  Area,Ready To Move,2.0,1.0,22.0,Raviwar Peth,2,656.0,3353.6585365853657
Super built-up  Area,Ready To Move,3.0,2.0,660.0,Raviwar Peth,3,3761.0,17548.524328636002
Super built-up  Area,Ready To Move,4.0,3.0,250.0,Raviwar Peth,4,2825.0,8849.557522123894
Super built-up  Area,Ready To Move,2.0,2.0,105.0,Raviwar Peth,2,1128.0,9308.510638297872
Super built-up  Area,19-Dec,3.0,1.0,83.87,Raviwar Peth,3,1355.0,6189.667896678967
Super built-up  Area,21-Mar,2.0,1.0,95.05,Raviwar Peth,2,1272.0,7472.4842767295595
Super built-up  Area,Ready To Move,1.0,0.0,19.5,Raviwar Peth,1,520.0,3750.0
Built-up  Area,Ready To Move,2.0,2.0,86.0,Raviwar Peth,2,1170.0,7350.427350427351
Built-up  Area,Ready To Move,2.0,2.0,58.0,Raviwar Peth,2,1205.0,4813.278008298756
Super built-up  Area,Ready To Move,2.0,2.0,45.0,Raviwar Peth,2,1200.0,3750.0
Built-up  Area,Ready To Move,2.0,1.0,43.75,Raviwar Peth,2,896.0,4882.8125
Super built-up  Area,18-Jan,3.0,2.0,89.0,Raviwar Peth,3,1571.0,5665.1814131126675
Super built-up  Area,Ready To Move,2.0,1.0,38.67,Raviwar Peth,2,1105.0,3499.547511312217
Super built-up  Area,Ready To Move,3.0,2.0,140.0,Raviwar Peth,3,1893.0,7395.66825145272
Super built-up  Area,18-May,2.0,1.0,31.9,Raviwar Peth,2,1063.0,3000.9407337723424
Built-up  Area,Ready To Move,2.0,1.0,42.5,Raviwar Peth,2,965.0,4404.145077720207
Super built-up  Area,Ready To Move,3.0,3.0,100.0,Raviwar Peth,3,1750.0,5714.285714285715
Super built-up  Area,Ready To Move,3.0,2.0,115.0,Raviwar Peth,3,1745.0,6590.25787965616
Built-up  Area,Ready To Move,1.0,1.0,35.0,Raviwar Peth,2,630.0,5555.555555555556
Super built-up  Area,Ready To Move,2.0,2.0,125.0,Raviwar Peth,3,1445.0,8650.519031141868
Plot  Area,Ready To Move,4.0,1.0,275.0,Raviwar Peth,4,3640.0,7554.945054945055
Super built-up  Area,Ready To Move,2.0,2.0,70.0,Raviwar Peth,2,1351.0,5181.347150259067
Plot  Area,Ready To Move,3.0,1.0,95.0,Raviwar Peth,4,1200.0,7916.666666666667
Super built-up  Area,Ready To Move,2.0,2.0,38.55,Raviwar Peth,2,1140.0,3381.578947368421
Super built-up  Area,Ready To Move,3.0,2.0,150.0,Raviwar Peth,3,1850.0,8108.108108108108
Built-up  Area,Ready To Move,2.0,1.0,35.0,Raviwar Peth,2,1000.0,3500.0
Super built-up  Area,Ready To Move,2.0,1.0,40.0,Raviwar Peth,2,1205.0,3319.5020746887967
Super built-up  Area,Ready To Move,2.0,1.0,50.0,Raviwar Peth,2,1070.0,4672.897196261682
Super built-up  Area,Ready To Move,3.0,2.0,88.0,Raviwar Peth,3,1627.86,5405.87028368533
Plot  Area,Ready To Move,3.0,3.0,95.75,Raviwar Peth,3,1200.0,7979.166666666667
Super built-up  Area,19-Jul,2.0,1.0,95.0,Raviwar Peth,2,1355.0,7011.070110701107
Built-up  Area,Ready To Move,3.0,2.0,198.0,Raviwar Peth,3,3500.0,5657.142857142857
Carpet  Area,Ready To Move,9.0,2.0,500.0,Raviwar Peth,9,4500.0,11111.111111111111
Built-up  Area,Ready To Move,3.0,2.0,60.0,Raviwar Peth,2,1365.0,4395.604395604396
Built-up  Area,Ready To Move,2.0,2.0,44.0,Raviwar Peth,2,1100.0,4000.0
Super built-up  Area,Ready To Move,2.0,1.0,58.0,Raviwar Peth,2,1065.0,5446.0093896713615
Super built-up  Area,Ready To Move,3.0,3.0,120.0,Raviwar Peth,3,2100.0,5714.285714285715
Super built-up  Area,Ready To Move,4.0,3.0,260.0,Raviwar Peth,4,2700.0,9629.62962962963
Super built-up  Area,18-Nov,2.0,1.0,45.91,Raviwar Peth,2,984.0,4665.650406504065
Super built-up  Area,20-Feb,3.0,2.0,79.19,Raviwar Peth,3,1484.0,5336.253369272237
Plot  Area,Ready To Move,2.0,0.0,180.0,Raviwar Peth,2,1566.0,11494.252873563219
Super built-up  Area,18-Mar,2.0,2.0,71.0,Raviwar Peth,2,1466.0,4843.110504774898
Super built-up  Area,Ready To Move,2.0,2.0,50.0,Raviwar Peth,2,918.0,5446.623093681917
Super built-up  Area,Ready To Move,2.0,1.0,35.5,Raviwar Peth,2,750.0,4733.333333333333
Super built-up  Area,Ready To Move,2.0,3.0,58.0,Raviwar Peth,2,960.0,6041.666666666667
Super built-up  Area,Ready To Move,2.0,3.0,68.0,Raviwar Peth,2,1112.0,6115.107913669065
Super built-up  Area,Ready To Move,2.0,1.0,100.0,Raviwar Peth,2,1333.0,7501.875468867217
Super built-up  Area,Ready To Move,2.0,1.0,63.5,Raviwar Peth,2,1050.0,6047.619047619048
Built-up  Area,Ready To Move,3.0,3.0,325.0,Raviwar Peth,4,3800.0,8552.631578947368
Super built-up  Area,Ready To Move,3.0,3.0,150.0,Raviwar Peth,3,1700.0,8823.529411764706
Super built-up  Area,18-Aug,2.0,1.0,50.0,Raviwar Peth,2,1251.0,3996.802557953637
Super built-up  Area,Ready To Move,5.0,1.0,201.0,Raviwar Peth,4,2425.0,8288.659793814433
Super built-up  Area,Ready To Move,3.0,3.0,120.0,Raviwar Peth,3,1790.0,6703.91061452514
Super built-up  Area,Ready To Move,4.0,2.0,370.0,Raviwar Peth,3,2251.0,16437.139049311416
Built-up  Area,Ready To Move,4.0,2.0,200.0,Raviwar Peth,4,2900.0,6896.551724137931
Super built-up  Area,Ready To Move,2.0,1.0,67.0,Raviwar Peth,2,1200.0,5583.333333333333
Super built-up  Area,18-Jan,2.0,1.0,28.0,Raviwar Peth,2,840.0,3333.3333333333335
Super built-up  Area,18-Jul,2.0,1.0,62.38,Raviwar Peth,2,1195.0,5220.083682008368
Super built-up  Area,18-Jul,2.0,2.0,30.0,Raviwar Peth,2,1200.0,2500.0
Super built-up  Area,20-Dec,2.0,1.0,32.72,Raviwar Peth,2,935.0,3499.4652406417113
Plot  Area,Ready To Move,1.0,1.0,200.0,Raviwar Peth,2,1200.0,16666.666666666668
Super built-up  Area,Ready To Move,2.0,2.0,46.0,Raviwar Peth,2,1145.0,4017.467248908297
Super built-up  Area,Ready To Move,2.0,2.0,49.5,Raviwar Peth,2,1100.0,4500.0
Plot  Area,Ready To Move,9.0,2.0,450.0,Raviwar Peth,10,3300.0,13636.363636363636
Super built-up  Area,Ready To Move,2.0,3.0,36.0,Raviwar Peth,2,1120.0,3214.285714285714
Built-up  Area,Ready To Move,3.0,3.0,130.0,Raviwar Peth,3,1600.0,8125.0
Super built-up  Area,21-Dec,2.0,1.0,66.33,Raviwar Peth,2,1340.0,4950.0
Super built-up  Area,Ready To Move,2.0,1.0,49.5,Raviwar Peth,2,703.0,7041.251778093883
Built-up  Area,Ready To Move,5.0,2.0,325.0,Raviwar Peth,4,5000.0,6500.0
Built-up  Area,Ready To Move,2.0,2.0,52.0,Raviwar Peth,2,1156.0,4498.269896193771
Built-up  Area,Ready To Move,4.0,3.0,189.0,Raviwar Peth,4,2597.0,7277.628032345014
Super built-up  Area,Ready To Move,2.0,1.0,31.15,Raviwar Peth,2,708.0,4399.717514124294
Super built-up  Area,Ready To Move,2.0,0.0,75.0,Raviwar Peth,3,1375.0,5454.545454545455
Super built-up  Area,19-Dec,1.0,1.0,50.0,Raviwar Peth,1,938.0,5330.490405117271
Super built-up  Area,Ready To Move,2.0,1.0,27.0,Raviwar Peth,2,850.0,3176.470588235294
Super built-up  Area,Ready To Move,2.0,2.0,75.0,Raviwar Peth,2,1300.0,5769.2307692307695
Built-up  Area,Ready To Move,2.0,0.0,40.0,Raviwar Peth,2,935.0,4278.07486631016
Built-up  Area,Ready To Move,3.0,3.0,172.0,Raviwar Peth,3,1750.0,9828.57142857143
Super built-up  Area,18-Dec,4.0,3.0,208.0,Raviwar Peth,4,2774.0,7498.197548666186
Built-up  Area,Ready To Move,3.0,2.0,156.0,Raviwar Peth,3,2312.0,6747.404844290658
Built-up  Area,Ready To Move,2.0,2.0,75.0,Raviwar Peth,2,1100.0,6818.181818181818
Super built-up  Area,Ready To Move,2.0,1.0,55.0,Raviwar Peth,2,975.0,5641.025641025641
Super built-up  Area,18-Aug,3.0,3.0,108.0,Raviwar Peth,3,1692.0,6382.978723404255
Built-up  Area,Ready To Move,2.0,0.0,50.0,Raviwar Peth,2,1320.0,3787.878787878788
Super built-up  Area,Ready To Move,2.0,1.0,70.0,Raviwar Peth,2,992.0,7056.451612903225
Super built-up  Area,Ready To Move,4.0,3.0,300.0,Raviwar Peth,3,2475.0,12121.212121212122
Super built-up  Area,18-May,1.0,1.0,37.32,Raviwar Peth,1,850.0,4390.588235294118
Super built-up  Area,18-May,2.0,1.0,79.89,Raviwar Peth,2,1277.0,6256.068911511355
Super built-up  Area,18-Dec,2.0,1.0,25.4,Raviwar Peth,2,850.0,2988.235294117647
Built-up  Area,Ready To Move,3.0,2.0,140.0,Raviwar Peth,3,1650.0,8484.848484848484
Super built-up  Area,Ready To Move,2.0,2.0,50.66,Raviwar Peth,2,1140.0,4443.859649122807
Plot  Area,Ready To Move,2.0,0.0,66.0,Raviwar Peth,3,1200.0,5500.0
Built-up  Area,Ready To Move,2.0,1.0,110.0,Raviwar Peth,2,1270.0,8661.417322834646
Super built-up  Area,Ready To Move,2.0,1.0,55.0,Raviwar Peth,2,1180.0,4661.016949152542
Super built-up  Area,21-Dec,4.0,2.0,134.0,Raviwar Peth,4,2093.0,6402.293358815098
Super built-up  Area,Ready To Move,2.0,3.0,150.0,Raviwar Peth,3,1615.0,9287.925696594428
Super built-up  Area,18-Apr,2.0,1.0,70.0,Sadashiv Peth,2,1240.0,5645.1612903225805
Super built-up  Area,Ready To Move,3.0,0.0,90.0,Sadashiv Peth,3,1200.0,7500.0
Super built-up  Area,Ready To Move,3.0,2.0,98.0,Sadashiv Peth,3,1620.0,6049.382716049383
Super built-up  Area,Ready To Move,2.0,3.0,75.0,Sadashiv Peth,2,1339.0,5601.194921583271
Super built-up  Area,Ready To Move,5.0,2.0,212.0,Sadashiv Peth,4,4000.0,5300.0
Super built-up  Area,18-Apr,2.0,1.0,86.0,Sadashiv Peth,2,1193.0,7208.717518860017
Super built-up  Area,20-Jun,2.0,2.0,65.0,Sadashiv Peth,2,1180.0,5508.474576271186
Super built-up  Area,Ready To Move,2.0,1.0,55.0,Sadashiv Peth,2,1031.0,5334.62657613967
Plot  Area,Ready To Move,2.0,2.0,83.0,Sadashiv Peth,2,1200.0,6916.666666666667
Super built-up  Area,19-Dec,1.0,1.0,54.0,Sadashiv Peth,1,660.0,8181.818181818182
Super built-up  Area,20-Dec,3.0,2.0,108.0,Sadashiv Peth,3,1693.0,6379.208505611341
Super built-up  Area,18-Dec,3.0,1.0,83.87,Sadashiv Peth,3,1355.0,6189.667896678967
Super built-up  Area,Ready To Move,2.0,2.0,100.0,Sadashiv Peth,2,1336.0,7485.029940119761
Super built-up  Area,21-Jan,1.0,1.0,30.0,Sadashiv Peth,1,525.0,5714.285714285715
Super built-up  Area,Ready To Move,2.0,3.0,88.0,Sadashiv Peth,3,1490.0,5906.040268456376
Super built-up  Area,19-Mar,4.0,2.0,140.0,Sadashiv Peth,3,1865.0,7506.702412868633
Plot  Area,Ready To Move,2.0,1.0,160.0,Sadashiv Peth,2,2400.0,6666.666666666667
Super built-up  Area,18-Dec,3.0,2.0,83.87,Sadashiv Peth,3,1355.0,6189.667896678967
Super built-up  Area,Ready To Move,2.0,1.0,58.0,Sadashiv Peth,2,1000.0,5800.0
Super built-up  Area,Ready To Move,4.0,3.0,148.0,Sadashiv Peth,3,1810.0,8176.795580110497
Super built-up  Area,Ready To Move,1.0,1.0,49.0,Sadashiv Peth,1,833.0,5882.35294117647
Super built-up  Area,18-Dec,2.0,0.0,107.0,Sadashiv Peth,2,1263.0,8471.892319873317
Super built-up  Area,18-Mar,2.0,2.0,96.0,Sadashiv Peth,3,1520.0,6315.789473684211
Super built-up  Area,19-Jul,2.0,1.0,89.76,Sadashiv Peth,2,1300.0,6904.615384615385
Super built-up  Area,Ready To Move,1.0,1.0,24.9,Sadashiv Peth,1,760.0,3276.315789473684
Super built-up  Area,Ready To Move,3.0,2.0,159.0,Sadashiv Peth,3,2257.0,7044.749667700487
Super built-up  Area,Ready To Move,2.0,1.0,90.0,Sadashiv Peth,3,1500.0,6000.0
Plot  Area,18-Feb,2.0,1.0,76.0,Sadashiv Peth,2,1200.0,6333.333333333333
Super built-up  Area,Ready To Move,2.0,1.0,99.0,Sadashiv Peth,2,1305.0,7586.206896551724
Super built-up  Area,18-Jul,3.0,1.0,95.1,Sadashiv Peth,3,1630.0,5834.355828220859
Super built-up  Area,Ready To Move,2.0,1.0,98.0,Sadashiv Peth,3,1455.0,6735.395189003437
Super built-up  Area,Ready To Move,3.0,3.0,90.0,Sadashiv Peth,3,1515.0,5940.59405940594
Super built-up  Area,Ready To Move,3.0,2.0,150.0,Sadashiv Peth,3,2060.0,7281.553398058252
Super built-up  Area,Ready To Move,1.0,1.0,38.0,Sadashiv Peth,1,907.0,4189.636163175303
Super built-up  Area,Ready To Move,4.0,1.0,145.0,Sadashiv Peth,4,1800.0,8055.555555555556
Super built-up  Area,Ready To Move,3.0,2.0,88.0,Sadashiv Peth,3,1595.0,5517.241379310345
Plot  Area,18-May,4.0,2.0,333.0,Sadashiv Peth,4,4260.0,7816.901408450704
Built-up  Area,Ready To Move,3.0,3.0,90.0,Sadashiv Peth,2,1465.0,6143.344709897611
Plot  Area,Ready To Move,4.0,2.0,175.0,Sadashiv Peth,4,2700.0,6481.481481481482
Plot  Area,Ready To Move,4.0,2.0,208.0,Sadashiv Peth,3,3450.0,6028.985507246377
Super built-up  Area,Ready To Move,2.0,1.0,77.0,Sadashiv Peth,2,1050.0,7333.333333333333
Super built-up  Area,Ready To Move,4.0,3.0,140.0,Sadashiv Peth,3,2317.0,6042.296072507553
Super built-up  Area,21-Dec,2.0,1.0,35.0,Sadashiv Peth,2,700.0,5000.0
Super built-up  Area,Ready To Move,2.0,2.0,66.0,Sadashiv Peth,2,1101.0,5994.550408719346
Super built-up  Area,20-Oct,2.0,1.0,41.0,Sadashiv Peth,2,700.0,5857.142857142857
Super built-up  Area,Ready To Move,2.0,2.0,88.0,Sadashiv Peth,3,1465.0,6006.825938566553
Super built-up  Area,Ready To Move,3.0,2.0,130.0,Sadashiv Peth,3,1826.0,7119.386637458927
Super built-up  Area,18-Mar,5.0,3.0,318.0,Sadashiv Peth,4,3560.0,8932.58426966292
Built-up  Area,Ready To Move,2.0,1.0,75.0,Sadashiv Peth,2,1172.0,6399.317406143345
Super built-up  Area,Ready To Move,2.0,2.0,94.0,Sadashiv Peth,2,1389.0,6767.458603311735
Built-up  Area,Ready To Move,2.0,1.0,63.0,Sadashiv Peth,2,1211.0,5202.312138728324
Super built-up  Area,Ready To Move,2.0,3.0,120.0,Sadashiv Peth,2,1200.0,10000.0
Super built-up  Area,Ready To Move,3.0,2.0,99.0,Sadashiv Peth,3,1820.0,5439.56043956044
Super built-up  Area,Ready To Move,2.0,2.0,110.0,Sadashiv Peth,3,1600.0,6875.0
